Date,Order_ID,Customer_ID,City,State,Region,Category,Product,Price,Qty,Sales,Delivery_Time
01-01-2023,SO45079,CUST 29255,Hyderabad,Telangana,South,Office Supplies,Paper,207,13,2422,1
01-01-2023,SO45093,CUST 18906,Kanpur,Uttar Pradesh,Middle,Technology,Machines,10305,1,9275,3
01-01-2023,SO45090,CUST 29170,Jaipur,Rajasthan,West,Furniture,Chairs,5211,4,18760,1
01-01-2023,SO45089,CUST 25977,Thane,Maharashtra,West,Office Supplies,Envelopes,625,16,9000,3
02-01-2023,SO45097,CUST 29151,Nellore,Andhra Pradesh,South,Office Supplies,Envelopes,422,11,4178,1
02-01-2023,SO45095,CUST 11394,Ajmer,Rajasthan,West,Office Supplies,Bag,548,12,5918,1
02-01-2023,SO45100,CUST 19428,Pune,Maharashtra,West,Office Supplies,Paper,217,14,2734,5
02-01-2023,SO45104,CUST 29142,Chennai,Tamil Nadu,South,Furniture,Chairs,6292,5,28314,2
03-01-2023,SO45105,CUST 22765,Nagpur,Maharashtra,West,Office Supplies,Paper,485,20,8730,5
03-01-2023,SO45109,CUST 14937,Vadodara,Gujarat,West,Technology,Computer,13896,1,12506,4
03-01-2023,SO45112,CUST 20558,Jaipur,Rajasthan,West,Office Supplies,Envelopes,146,16,2102,1
03-01-2023,SO45118,CUST 18722,Durgapur,West Bengal,East,Office Supplies,Envelopes,529,14,6665,3
03-01-2023,SO45113,CUST 29141,Mumbai,Maharashtra,West,Office Supplies,Paper,903,11,8940,1
03-01-2023,SO45120,CUST 11751,New Delhi,Delhi,North,Technology,Computer,10495,2,18891,2
03-01-2023,SO45129,CUST 11759,Madurai,Tamil Nadu,South,Office Supplies,Envelopes,494,10,4446,4
03-01-2023,SO45126,CUST 12480,Pune,Maharashtra,West,Office Supplies,Paper,526,11,5207,5
04-01-2023,SO45136,CUST 19084,Hyderabad,Telangana,South,Office Supplies,Envelopes,961,19,16433,2
04-01-2023,SO45134,CUST 22895,Surat,Gujarat,West,Furniture,Chairs,7588,4,27317,5
04-01-2023,SO45133,CUST 29163,Chennai,Tamil Nadu,South,Office Supplies,Bag,267,11,2643,2
04-01-2023,SO45143,CUST 29278,Guntur,Andhra Pradesh,South,Furniture,Chairs,6930,6,37422,3
04-01-2023,SO45147,CUST 29166,Chennai,Tamil Nadu,South,Office Supplies,Paper,681,15,9194,4
05-01-2023,SO45151,CUST 29202,Mangalore,Karnataka,South,Office Supplies,Paper,817,19,13971,3
05-01-2023,SO45150,CUST 25980,Mangalore,Karnataka,South,Office Supplies,Envelopes,377,14,4750,4
05-01-2023,SO45155,CUST 18900,Mumbai,Maharashtra,West,Office Supplies,Bag,180,17,2754,5
06-01-2023,SO45152,CUST 29276,Vadodara,Gujarat,West,Technology,Computer,14728,2,26510,4
06-01-2023,SO45162,CUST 18721,Thane,Maharashtra,West,Technology,Computer,13629,2,24532,2
06-01-2023,SO45163,CUST 25714,Thane,Maharashtra,West,Technology,Computer,10124,1,9112,1
06-01-2023,SO45159,CUST 11400,Thane,Maharashtra,West,Office Supplies,Bag,730,16,10512,3
06-01-2023,SO45167,CUST 18706,Nasik,Maharashtra,West,Office Supplies,Paper,363,11,3594,2
06-01-2023,SO45169,CUST 18766,Nasik,Maharashtra,West,Office Supplies,Bag,974,17,14902,3
07-01-2023,SO45171,CUST 11754,Mumbai,Maharashtra,West,Furniture,Chairs,5029,4,18104,2
07-01-2023,SO45166,CUST 19083,Mumbai,Maharashtra,West,Office Supplies,Paper,262,11,2594,5
07-01-2023,SO45168,CUST 18738,New Delhi,Delhi,North,Office Supplies,Bag,257,10,2313,5
07-01-2023,SO45165,CUST 22881,Bangalore,Karnataka,South,Office Supplies,Bag,918,19,15698,1
08-01-2023,SO45179,CUST 11457,Pune,Maharashtra,West,Technology,Computer,10769,1,9692,5
08-01-2023,SO45178,CUST 11456,Pune,Maharashtra,West,Technology,Computer,14217,2,25591,1
08-01-2023,SO45177,CUST 18903,Pune,Maharashtra,West,Technology,Computer,12341,1,11107,4
08-01-2023,SO45180,CUST 15046,Agra,Uttar Pradesh,Middle,Technology,Machines,10456,2,18821,2
08-01-2023,SO45185,CUST 14949,Gorakhpur,Haryana,North,Technology,Machines,12820,2,23076,2
08-01-2023,SO45182,CUST 18769,Kolkata,West Bengal,East,Furniture,Chairs,7210,5,32445,3
08-01-2023,SO45187,CUST 15047,Faridabad,Haryana,North,Furniture,Chairs,6991,3,18876,5
08-01-2023,SO45188,CUST 14861,Warangal,Telangana,South,Technology,Machines,10913,2,19643,4
09-01-2023,SO45190,CUST 18931,Mumbai,Maharashtra,West,Technology,Computer,13797,2,24835,2
09-01-2023,SO45196,CUST 18739,Gorakhpur,Haryana,North,Office Supplies,Paper,243,14,3062,3
09-01-2023,SO45195,CUST 18929,Kanpur,Uttar Pradesh,Middle,Technology,Computer,11934,2,21481,1
09-01-2023,SO45193,CUST 22889,Kanpur,Uttar Pradesh,Middle,Office Supplies,Paper,324,16,4666,4
10-01-2023,SO45194,CUST 29221,Kanpur,Uttar Pradesh,Middle,Furniture,Chairs,5683,6,30688,3
10-01-2023,SO45192,CUST 14846,Kota,Chhattisgarh,Middle,Office Supplies,Envelopes,236,18,3823,1
10-01-2023,SO45204,CUST 11460,Mumbai,Maharashtra,West,Furniture,Chairs,7946,5,35757,3
10-01-2023,SO45207,CUST 29156,Jaipur,Rajasthan,West,Technology,Machines,10603,1,9543,4
11-01-2023,SO45205,CUST 28420,New Delhi,Delhi,North,Furniture,Chairs,5148,5,23166,1
11-01-2023,SO45218,CUST 25982,Ahmedabad,Gujarat,West,Technology,Computer,13743,1,12369,2
11-01-2023,SO45225,CUST 14653,Ajmer,Rajasthan,West,Furniture,Tables,6424,3,17345,1
11-01-2023,SO45227,CUST 14726,Agra,Uttar Pradesh,Middle,Office Supplies,Paper,891,17,13632,5
11-01-2023,SO45232,CUST 18736,Agra,Uttar Pradesh,Middle,Furniture,Chairs,7993,6,43162,1
11-01-2023,SO45233,CUST 11472,Agra,Uttar Pradesh,Middle,Technology,Computer,13300,1,11970,1
11-01-2023,SO45231,CUST 18908,Gorakhpur,Haryana,North,Office Supplies,Paper,354,17,5416,2
11-01-2023,SO45235,CUST 29147,Chennai,Tamil Nadu,South,Technology,Computer,10147,2,18265,3
11-01-2023,SO45237,CUST 18737,Chennai,Tamil Nadu,South,Furniture,Chairs,6653,4,23951,3
12-01-2023,SO45238,CUST 11459,Srinagar,Jammu and Kashmir,North,Office Supplies,Paper,683,18,11065,3
12-01-2023,SO45242,CUST 29223,Srinagar,Jammu and Kashmir,North,Office Supplies,Bag,920,14,11592,2
12-01-2023,SO45240,CUST 29155,Nagpur,Maharashtra,West,Technology,Computer,10150,1,9135,5
12-01-2023,SO45241,CUST 29203,Nagpur,Maharashtra,West,Technology,Computer,12203,2,21965,2
12-01-2023,SO45243,CUST 25715,Surat,Gujarat,West,Office Supplies,Envelopes,282,16,4061,4
12-01-2023,SO45245,CUST 18928,Surat,Gujarat,West,Furniture,Chairs,5195,6,28053,5
12-01-2023,SO45246,CUST 18709,Surat,Gujarat,West,Office Supplies,Envelopes,718,15,9693,4
13-01-2023,SO45247,CUST 25716,Pune,Maharashtra,West,Furniture,Tables,7294,5,32823,2
13-01-2023,SO45248,CUST 11451,Pune,Maharashtra,West,Office Supplies,Bag,169,19,2890,1
13-01-2023,SO45258,CUST 25712,Coimbatore,Tamil Nadu,South,Office Supplies,Bag,928,17,14198,2
14-01-2023,SO45253,CUST 29237,New Delhi,Delhi,North,Office Supplies,Bag,916,20,16488,3
14-01-2023,SO45251,CUST 19422,New Delhi,Delhi,North,Furniture,Chairs,6278,6,33901,1
14-01-2023,SO45249,CUST 14928,Hyderabad,Telangana,South,Technology,Computer,11041,2,19874,2
14-01-2023,SO45262,CUST 29265,New Delhi,Delhi,North,Technology,Computer,10017,2,18031,4
14-01-2023,SO45260,CUST 29150,Warangal,Telangana,South,Office Supplies,Bag,148,17,2264,2
14-01-2023,SO45349,CUST 19568,Agra,Uttar Pradesh,Middle,Technology,Computer,13752,2,24754,1
14-01-2023,SO45347,CUST 14733,Agra,Uttar Pradesh,Middle,Office Supplies,Envelopes,984,11,9742,2
14-01-2023,SO45348,CUST 19562,Chennai,Tamil Nadu,South,Office Supplies,Envelopes,747,14,9412,5
